Date : 2021-08-22 16:13:33
Directory : f:\xunzheji
Total : 317 files,  59613 codes, 1984 comments, 3315 blanks, all 64912 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| f:\xunzheji\android\app\src\main\assets\Timer\css\style_v.css                   | CSS         |        159 |          0 |          8 |        167 |
| f:\xunzheji\android\app\src\main\assets\Timer\fonts\icomoon.svg                 | XML         |         12 |          0 |          0 |         12 |
| f:\xunzheji\android\app\src\main\assets\Timer\index2.html                       | HTML        |         99 |          0 |          2 |        101 |
| f:\xunzheji\android\app\src\main\assets\Timer\js\jquery-1.11.0.min.js           | JavaScript  |          3 |          1 |          0 |          4 |
| f:\xunzheji\android\app\src\main\assets\Timer\js\jquery.timelinr-0.9.6.js       | JavaScript  |        237 |         30 |          7 |        274 |
| f:\xunzheji\android\app\src\main\assets\auth.properties                         | Properties  |          4 |          7 |          0 |         11 |
| f:\xunzheji\android\app\src\main\assets\clothes\css\normalize.min.css           | CSS         |          1 |          0 |          0 |          1 |
| f:\xunzheji\android\app\src\main\assets\clothes\css\style.css                   | CSS         |        196 |          0 |          8 |        204 |
| f:\xunzheji\android\app\src\main\assets\clothes\index.html                      | HTML        |         47 |          5 |          6 |         58 |
| f:\xunzheji\android\app\src\main\assets\clothes\js\script.js                    | JavaScript  |         22 |          0 |          0 |         22 |
| f:\xunzheji\android\app\src\main\assets\draw\index.html                         | HTML        |         33 |          0 |          3 |         36 |
| f:\xunzheji\android\app\src\main\assets\draw\main.js                            | JavaScript  |        155 |          4 |         24 |        183 |
| f:\xunzheji\android\app\src\main\assets\draw\other.js                           | JavaScript  |          2 |          0 |          0 |          2 |
| f:\xunzheji\android\app\src\main\assets\draw\style.css                          | CSS         |         78 |          0 |          3 |         81 |
| f:\xunzheji\android\app\src\main\assets\inherit\css\accordion.css               | CSS         |        138 |          0 |         13 |        151 |
| f:\xunzheji\android\app\src\main\assets\inherit\css\swiper.min.css              | CSS         |          1 |         11 |          0 |         12 |
| f:\xunzheji\android\app\src\main\assets\inherit\index.html                      | HTML        |      1,544 |         20 |          0 |      1,564 |
| f:\xunzheji\android\app\src\main\assets\inherit\js\accordion.js                 | JavaScript  |         80 |          2 |          1 |         83 |
| f:\xunzheji\android\app\src\main\assets\inherit\js\jquery-1.11.3.min.js         | JavaScript  |          3 |          1 |          2 |          6 |
| f:\xunzheji\android\app\src\main\assets\inherit\js\swiper.min.js                | JavaScript  |          1 |         12 |          1 |         14 |
| f:\xunzheji\android\app\src\main\assets\lunbo\css\style.css                     | CSS         |         86 |          0 |          6 |         92 |
| f:\xunzheji\android\app\src\main\assets\lunbo\css\swiper.min.css                | CSS         |          1 |         11 |          0 |         12 |
| f:\xunzheji\android\app\src\main\assets\lunbo\index.html                        | HTML        |        186 |          4 |          2 |        192 |
| f:\xunzheji\android\app\src\main\assets\lunbo\js\jquery-1.11.3.min.js           | JavaScript  |          3 |          1 |          2 |          6 |
| f:\xunzheji\android\app\src\main\assets\lunbo\js\swiper.min.js                  | JavaScript  |          1 |         12 |          1 |         14 |
| f:\xunzheji\android\app\src\main\assets\oldbank\css\bootstrap.min.css           | CSS         |          1 |          4 |          0 |          5 |
| f:\xunzheji\android\app\src\main\assets\oldbank\css\font-awesome.min.css        | CSS         |          1 |          3 |          0 |          4 |
| f:\xunzheji\android\app\src\main\assets\oldbank\css\material-cards.css          | CSS         |      1,237 |          0 |          1 |      1,238 |
| f:\xunzheji\android\app\src\main\assets\oldbank\fonts\icomoon.svg               | XML         |         12 |          0 |          0 |         12 |
| f:\xunzheji\android\app\src\main\assets\oldbank\index.html                      | HTML        |        224 |         26 |         18 |        268 |
