Date : 2021-08-22 16:13:33
Directory : f:\xunzheji
Total : 317 files,  59613 codes, 1984 comments, 3315 blanks, all 64912 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| f:\xunzheji\src\pages\MyScreen\shezhi.js                                        | JavaScript  |        113 |          1 |          6 |        120 |
| f:\xunzheji\src\pages\MyScreen\zhanshi2_geren\Goods2.js                         | JavaScript  |        192 |          3 |         20 |        215 |
| f:\xunzheji\src\pages\MyScreen\zhanshi2_geren\Output2.js                        | JavaScript  |        247 |         19 |         19 |        285 |
| f:\xunzheji\src\pages\MyScreen\zhanshi2_geren\Shoucang2.js                      | JavaScript  |        114 |          3 |         13 |        130 |
| f:\xunzheji\src\pages\MyScreen\zhanshi2_geren\dianzan2.js                       | JavaScript  |        105 |          3 |         14 |        122 |
| f:\xunzheji\src\pages\MyScreen\zhanshi\dianzan.js                               | JavaScript  |         83 |          2 |          8 |         93 |
| f:\xunzheji\src\pages\MyScreen\zhanshi\goods.js                                 | JavaScript  |        154 |          3 |         16 |        173 |
| f:\xunzheji\src\pages\MyScreen\zhanshi\output.js                                | JavaScript  |        231 |         10 |         19 |        260 |
| f:\xunzheji\src\pages\MyScreen\zhanshi\shoucang.js                              | JavaScript  |        208 |          4 |          5 |        217 |
| f:\xunzheji\src\pages\Road\Road.js                                              | JavaScript  |         59 |          2 |          8 |         69 |
| f:\xunzheji\src\pages\Road\TabBar.js                                            | JavaScript  |         81 |          0 |          6 |         87 |
| f:\xunzheji\src\pages\Road\Video.js                                             | JavaScript  |        462 |         11 |         50 |        523 |
| f:\xunzheji\src\pages\Road\locked.js                                            | JavaScript  |        240 |          9 |         17 |        266 |
| f:\xunzheji\src\pages\Road\story.js                                             | JavaScript  |        173 |         32 |          3 |        208 |
| f:\xunzheji\src\pages\Road\story2.js                                            | JavaScript  |        224 |         32 |          5 |        261 |
| f:\xunzheji\src\pages\Shop\Chair.js                                             | JavaScript  |        107 |          0 |          9 |        116 |
| f:\xunzheji\src\pages\Shop\Classify.js                                          | JavaScript  |        686 |          0 |         25 |        711 |
| f:\xunzheji\src\pages\Shop\ClothesMade.js                                       | JavaScript  |         20 |          0 |          0 |         20 |
| f:\xunzheji\src\pages\Shop\CulturalCreation.js                                  | JavaScript  |        233 |         11 |         20 |        264 |
| f:\xunzheji\src\pages\Shop\Custom.js                                            | JavaScript  |         83 |          0 |          6 |         89 |
| f:\xunzheji\src\pages\Shop\CustomMade.js                                        | JavaScript  |        122 |          1 |          4 |        127 |
| f:\xunzheji\src\pages\Shop\Dingdan.js                                           | JavaScript  |        217 |          1 |         30 |        248 |
| f:\xunzheji\src\pages\Shop\Exchange\Exchange.js                                 | JavaScript  |        100 |          5 |          4 |        109 |
| f:\xunzheji\src\pages\Shop\Exchange\Exchange2.js                                | JavaScript  |        176 |          5 |         18 |        199 |
| f:\xunzheji\src\pages\Shop\Exchange\ExchangeTop.js                              | JavaScript  |         36 |          3 |          2 |         41 |
| f:\xunzheji\src\pages\Shop\Exchange\Swop.js                                     | JavaScript  |        182 |          1 |         17 |        200 |
| f:\xunzheji\src\pages\Shop\Goods.js                                             | JavaScript  |         36 |          0 |          1 |         37 |
| f:\xunzheji\src\pages\Shop\GoodsDetail.js                                       | JavaScript  |        566 |         23 |         17 |        606 |
| f:\xunzheji\src\pages\Shop\Heritage.js                                          | JavaScript  |         85 |         31 |          6 |        122 |
| f:\xunzheji\src\pages\Shop\Jiang.js                                             | JavaScript  |         41 |          0 |          6 |         47 |
| f:\xunzheji\src\pages\Shop\MIN\Characters.js                                    | JavaScript  |        101 |          0 |          6 |        107 |
| f:\xunzheji\src\pages\Shop\MIN\Exhibition.js                                    | JavaScript  |         42 |          0 |         10 |         52 |
| f:\xunzheji\src\pages\Shop\MIN\JieShao.js                                       | JavaScript  |         46 |          0 |          3 |         49 |
| f:\xunzheji\src\pages\Shop\MIN\Min.js                                           | JavaScript  |        146 |          0 |         11 |        157 |
| f:\xunzheji\src\pages\Shop\MIN\MinJia.js                                        | JavaScript  |         47 |          0 |          7 |         54 |
| f:\xunzheji\src\pages\Shop\MIN\SenmentTabBar.js                                 | JavaScript  |         86 |          0 |          4 |         90 |
| f:\xunzheji\src\pages\Shop\MIN\Zhan.js                                          | JavaScript  |         36 |          0 |          4 |         40 |
| f:\xunzheji\src\pages\Shop\MIN\ZuoPin.js                                        | JavaScript  |         44 |          0 |          3 |         47 |
| f:\xunzheji\src\pages\Shop\NewWorks.js                                          | JavaScript  |        215 |          2 |         22 |        239 |
| f:\xunzheji\src\pages\Shop\OldBank.js                                           | JavaScript  |        135 |         25 |         10 |        170 |
| f:\xunzheji\src\pages\Shop\OldBankTimer.js                                      | JavaScript  |         61 |          0 |          6 |         67 |
| f:\xunzheji\src\pages\Shop\Page1.js                                             | JavaScript  |        168 |          6 |         17 |        191 |
| f:\xunzheji\src\pages\Shop\Page2.js                                             | JavaScript  |        127 |          5 |         22 |        154 |
| f:\xunzheji\src\pages\Shop\Page3.js                                             | JavaScript  |        127 |          5 |         22 |        154 |
| f:\xunzheji\src\pages\Shop\ShoppingCar\ShoppingCart.js                          | JavaScript  |        344 |          8 |         27 |        379 |
| f:\xunzheji\src\pages\Shop\ShoppingCar\ShoppingCartData.json                    | JSON        |        104 |          0 |          4 |        108 |
| f:\xunzheji\src\pages\Shop\ShoppingCar\commonStyle.js                           | JavaScript  |         62 |         49 |         11 |        122 |
| f:\xunzheji\src\pages\Shop\Table.js                                             | JavaScript  |        108 |          0 |          9 |        117 |
| f:\xunzheji\src\pages\Shop\Timer\Timer.js                                       | JavaScript  |         53 |          4 |          9 |         66 |
| f:\xunzheji\src\pages\Shop\TopNav.js                                            | JavaScript  |         33 |          0 |         15 |         48 |
| f:\xunzheji\src\pages\Shop\WebView\DaoHang.js                                   | JavaScript  |         12 |          0 |          1 |         13 |
| f:\xunzheji\src\pages\Shop\WebView\Heritages.js                                 | JavaScript  |         81 |          0 |         10 |         91 |
| f:\xunzheji\src\pages\Shop\WebView\JiangRen.js                                  | JavaScript  |         86 |          0 |          6 |         92 |
| f:\xunzheji\src\pages\Shop\WebView\ZoomPictureModel.js                          | JavaScript  |         90 |         18 |         12 |        120 |
| f:\xunzheji\src\pages\Shop\clothes\index.js                                     | JavaScript  |         38 |          0 |         13 |         51 |
| f:\xunzheji\src\pages\Shop\culture.js                                           | JavaScript  |         47 |          0 |          3 |         50 |
| f:\xunzheji\src\pages\Shop\demo.js                                              | JavaScript  |        168 |          5 |          9 |        182 |
| f:\xunzheji\src\pages\Shop\dingzhi.js                                           | JavaScript  |        133 |          2 |          7 |        142 |
| f:\xunzheji\src\pages\Shop\dingzhi_xuqiu.js                                     | JavaScript  |        260 |          7 |         28 |        295 |
| f:\xunzheji\src\pages\Shop\discuss.js                                           | JavaScript  |        323 |         28 |         28 |        379 |
| f:\xunzheji\src\pages\Shop\draw\index.js                                        | JavaScript  |          0 |          0 |          1 |          1 |
| f:\xunzheji\src\pages\Shop\drawpic.js                                           | JavaScript  |         74 |          0 |         14 |         88 |
| f:\xunzheji\src\pages\Shop\inherit.js                                           | JavaScript  |         20 |          0 |          0 |         20 |
| f:\xunzheji\src\pages\Shop\inheritor\index.js                                   | JavaScript  |         39 |          0 |         12 |         51 |
| f:\xunzheji\src\pages\Shop\paper\paper.js                                       | JavaScript  |         53 |          4 |         10 |         67 |
| f:\xunzheji\src\pages\Shop\res\DummyData\index.js                               | JavaScript  |         35 |          0 |          0 |         35 |
| f:\xunzheji\src\pages\Shop\res\images.js                                        | JavaScript  |          7 |          0 |          0 |          7 |
| f:\xunzheji\src\pages\Shop\search.js                                            | JavaScript  |        162 |         32 |         11 |        205 |
| f:\xunzheji\src\pages\Shop\shoplist\Shopclassifymore.js                         | JavaScript  |        232 |          4 |         16 |        252 |
| f:\xunzheji\src\pages\Shop\shoplist\Shopdetails.js                              | JavaScript  |        350 |         18 |         44 |        412 |
| f:\xunzheji\src\pages\Shop\shoplist\Shoplist.js                                 | JavaScript  |         72 |          1 |         11 |         84 |
| f:\xunzheji\src\pages\Shop\shoplist\shoplist.json                               | JSON        |      1,735 |          0 |          1 |      1,736 |
| f:\xunzheji\src\pages\Shop\shopping\Address.js                                  | JavaScript  |        143 |          3 |          6 |        152 |
| f:\xunzheji\src\pages\Shop\shopping\AddressList.js                              | JavaScript  |        199 |          6 |         14 |        219 |
| f:\xunzheji\src\pages\Shop\shopping\AddressList2.js                             | JavaScript  |        213 |         32 |         21 |        266 |
| f:\xunzheji\src\pages\Shop\shopping\HelloWorld.js                               | JavaScript  |        149 |         19 |         56 |        224 |
| f:\xunzheji\src\pages\Shop\shopping\updateDizhi.js                              | JavaScript  |        128 |          3 |          8 |        139 |
| f:\xunzheji\src\pages\Shop\src\index.js                                         | JavaScript  |        298 |          1 |         12 |        311 |
| f:\xunzheji\src\pages\Shop\star5.json                                           | JSON        |          1 |          0 |          0 |          1 |
| f:\xunzheji\src\pages\Shop\store.js                                             | JavaScript  |        705 |         29 |         69 |        803 |
| f:\xunzheji\src\pages\Shop\wzj-zhanshika.js                                     | JavaScript  |        209 |         10 |          9 |        228 |
| f:\xunzheji\src\pages\Shop\zhifu.js                                             | JavaScript  |        345 |          8 |         35 |        388 |
| f:\xunzheji\src\pages\Shop\zhifu_cart.js                                        | JavaScript  |        247 |          7 |         30 |        284 |
| f:\xunzheji\src\pages\Tour\index.js                                             | JavaScript  |         12 |          0 |          3 |         15 |
| f:\xunzheji\src\pages\article\comment\article_detail.js                         | JavaScript  |        115 |          0 |         21 |        136 |
| f:\xunzheji\src\pages\article\comment\comment_detail.js                         | JavaScript  |         67 |          0 |         10 |         77 |
| f:\xunzheji\src\pages\article\comment\followlist.js                             | JavaScript  |         74 |          0 |         20 |         94 |
| f:\xunzheji\src\pages\article\comment\listItem.js                               | JavaScript  |         91 |          0 |         12 |        103 |
| f:\xunzheji\src\pages\chat\InputToolbar.js                                      | JavaScript  |         79 |          0 |          4 |         83 |
| f:\xunzheji\src\pages\chat\MessageContainer.js                                  | JavaScript  |         13 |          0 |          2 |         15 |
| f:\xunzheji\src\pages\chat\demo.js                                              | JavaScript  |        356 |         13 |         29 |        398 |
| f:\xunzheji\src\pages\index.js                                                  | JavaScript  |         86 |          0 |          2 |         88 |
| f:\xunzheji\src\pages\load\index.js                                             | JavaScript  |        103 |          3 |         27 |        133 |
| f:\xunzheji\src\pages\load\injectedHtml\index.js                                | JavaScript  |         18 |          8 |          4 |         30 |
| f:\xunzheji\src\pages\load\injectedJavaScript\application.js                    | JavaScript  |         42 |          9 |         11 |         62 |
| f:\xunzheji\src\pages\load\injectedJavaScript\errorHandler.js                   | JavaScript  |          6 |          0 |          1 |          7 |
| f:\xunzheji\src\pages\load\injectedJavaScript\executeNativeFunction.js          | JavaScript  |          6 |          0 |          2 |          8 |
| f:\xunzheji\src\pages\load\injectedJavaScript\signaturePad.js                   | JavaScript  |        271 |         29 |         67 |        367 |
| f:\xunzheji\src\pages\load\loading2.js                                          | JavaScript  |         36 |          0 |          5 |         41 |
| f:\xunzheji\src\pages\toast,.js                                                 | JavaScript  |         39 |          2 |          8 |         49 |
| f:\xunzheji\src\pages\vr.js                                                     | JavaScript  |         27 |          0 |          2 |         29 |
| f:\xunzheji\src\pages\water.js                                                  | JavaScript  |         86 |         48 |         15 |        149 |
| Total                                                                           |             |     59,613 |      1,984 |      3,315 |     64,912 |
+---------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
